Business / DBA Name,Legal Entity Name,Street Address,City,State,ZIP Code,NAICS Code,Industry Category,Entity Type,Permit Issue Date,MSSP Regulatory Sales Hook
JSM PLUMBING,JOSI URBELINO SALAS,6207 NEWQUAY ST,HOUSTON,TX,77085,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Type IS,2013-10-25T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"JUAN CARLOS CARPET, LLC","JUAN CARLOS CARPET, LLC",8031 NORTHLINE DR,HOUSTON,TX,77037,238330,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2023-05-19T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
JULY AIR,VICTOR P MALDONADO,13838 PEACH HOLLOW LN,HOUSTON,TX,77082,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Type IS,2008-10-22T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
JVS READY MIX LLC,JVS READY MIX LLC,12520 ABBEY HOUSE CT,HOUSTON,TX,77047,238111,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2024-10-23T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
K & S PLUMBING COMPANY,JOSEPH KENJORA JR & EDDIE SYZDEK JR,909 SUNNYSIDE ST,HOUSTON,TX,77076,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Type PI,1989-03-11T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"K P & COMPANY, INC.","K P ENTERPRISES, INC",1943 ASH MEADOW DR,HOUSTON,TX,77090,238161,"Construction (General, Civil, Specialty Trades)",Texas Corporation,2006-08-17T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
K TOP CONSTRUCTION LLC,K TOP CONSTRUCTION LLC,17011 S BEAR CREEK DR,HOUSTON,TX,77084,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Limited Liability Company (LLC),2025-11-20T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
K&A FRESH AIR,K&A FRESH AIR LLC,17622 S SUMMIT CANYON DR,HOUSTON,TX,77095,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Limited Liability Company (LLC),2024-12-12T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"K.T.M. DOOR CONTROL, INC.","K.T.M. DOOR CONTROL, INC.",14902 STUEBNER AIRLINE RD,HOUSTON,TX,77069,238351,"Construction (General, Civil, Specialty Trades)",Texas Corporation,1994-12-02T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
K.WILL MOUNTS LLC,K.WILL MOUNTS LLC,7022 SANTA RITA DR,HOUSTON,TX,77083,238210,Electrical Contractors and Other Wiring Installation,Limited Liability Company (LLC),2026-07-04T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
