Business / DBA Name,Legal Entity Name,Street Address,City,State,ZIP Code,NAICS Code,Industry Category,Entity Type,Permit Issue Date,MSSP Regulatory Sales Hook
UNITED PARCEL SERVICE,"UNITED PARCEL SERVICE, INC.",11802 N GESSNER RD,HOUSTON,TX,77064,484110,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Foreign Corporation (Out-of-State),2016-06-13T00:00:00.000,Supply Chain / Port Operations Business Continuity
UNITED PARCEL SERVICE,"UNITED PARCEL SERVICE, INC.",12101 BLUME AVE BLDG 396,HOUSTON,TX,77034,484110,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Foreign Corporation (Out-of-State),2022-03-14T00:00:00.000,Supply Chain / Port Operations Business Continuity
UNITED PARCEL SERVICE,"UNITED PARCEL SERVICE, INC.",7110 MYKAWA RD,HOUSTON,TX,77033,484110,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Foreign Corporation (Out-of-State),1986-03-11T00:00:00.000,Supply Chain / Port Operations Business Continuity
UNITED PARCEL SERVICE - CUSTOMER COUNTER,"UNITED PARCEL SERVICE, INC.",8200 SWEETWATER LN,HOUSTON,TX,77037,484110,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Foreign Corporation (Out-of-State),1986-04-30T00:00:00.000,Supply Chain / Port Operations Business Continuity
UOVO WINE,"DOMAINE MANAGEMENT, LLC",4645 SOUTHWEST FWY STE 195,HOUSTON,TX,77027,493120,"Transportation and Warehousing (Postal, Couriers, Warehousing)",Corporation / Corporate Entity,2024-11-21T00:00:00.000,Supply Chain / Port Operations Business Continuity
UPS CARTAGE SERVICES HOUSTON,"UPS CARTAGE SERVICES, INC.",15905 MORALES RD,HOUSTON,TX,77032,484110,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Foreign Corporation (Out-of-State),2005-01-18T00:00:00.000,Supply Chain / Port Operations Business Continuity
UPS GROUND FREIGHT,"TFORCE FREIGHT, INC.",1919 COLLINGSWORTH ST,HOUSTON,TX,77009,484121,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Foreign Corporation (Out-of-State),2009-05-29T00:00:00.000,Supply Chain / Port Operations Business Continuity
UPSCALE FREIGHT BROKERAGE LLC,UPSCALE FREIGHT BROKERAGE LLC,16510 NORTHCHASE DR STE 253,HOUSTON,TX,77060,484121,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Limited Liability Company (LLC),2026-08-04T00:00:00.000,Supply Chain / Port Operations Business Continuity
USURP TRANSPORTATION LLC,USURP TRANSPORTATION LLC,945 MCKINNEY ST STE 229,HOUSTON,TX,77002,484220,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Limited Liability Company (LLC),2022-04-05T00:00:00.000,Supply Chain / Port Operations Business Continuity
V&S CARGO TX INC,V&S CARGO TX INC,3703 MESA DR,HOUSTON,TX,77013,484121,"Transportation and Warehousing (Air, Rail, Trucking, Pipeline)",Texas Corporation,2025-11-22T00:00:00.000,Supply Chain / Port Operations Business Continuity
